date,province,cases,recovered,deaths,source
2020-03-31, Antsiranana, 1,0,0,https://www.youtube.com/watch?v=t_mW7ixEyok
2020-03-31, Fianarantsoa, 1,0,0,https://www.youtube.com/watch?v=t_mW7ixEyok
2020-03-31, Toamasina, 1,0,0,https://www.youtube.com/watch?v=t_mW7ixEyok
